year,appeal_id,Global cluster,plan_name,Current requirements US$,Funding_fts
2019,674,Emergency Shelter and NFI,Central African Republic 2019,22500000,8136237.83333333
2019,674,Emergency Telecommunications,Central African Republic 2019,1500000,605905
2019,674,Food Security,Central African Republic 2019,168300000,87546558.1666667
2019,674,Health,Central African Republic 2019,28800000,26668284.9166667
2019,674,Multi-sector,Central African Republic 2019,22900000,2369343.25
2019,674,Nutrition,Central African Republic 2019,2.6e+07,26990683.1666667
2019,674,Protection,Central African Republic 2019,39500000,25379470.9166667
2019,674,Unspecified,Central African Republic 2019,0,45296418
2019,674,Water Sanitation Hygiene,Central African Republic 2019,3.5e+07,23160451
2019,675,Coordination and support services,Yemen 2019,26202000,63156599.8333333
2019,675,Education,Yemen 2019,105425450,53446145.8666667
2019,675,Emergency Shelter and NFI,Yemen 2019,221809935,89648995.1666667
2019,675,Emergency Telecommunications,Yemen 2019,5518217,2768076
2019,675,Food Security,Yemen 2019,2208987410,1658350908.01667
2019,675,Health,Yemen 2019,627188615,331830042.716667
2019,675,Logistics,Yemen 2019,68489933,51844024
2019,675,Multi-sector,Yemen 2019,121612945,52486407.3333333
2019,675,Nutrition,Yemen 2019,320316606,316341453.716667
2019,675,Other,Yemen 2019,48625261,
2019,675,Protection,Yemen 2019,153037577,168734685.8
2019,675,Unspecified,Yemen 2019,0,637962219
2019,675,Water Sanitation Hygiene,Yemen 2019,285466405,199872863.55
2019,676,Coordination and support services,Niger 2019,14339728,2959094
2019,676,Education,Niger 2019,12429085,5877545
2019,676,Emergency Shelter and NFI,Niger 2019,21329643,7422894
2019,676,Food Security,Niger 2019,91241765,76593448.3333333
2019,676,Health,Niger 2019,12135901,4163671
2019,676,Multi-sector,Niger 2019,104639501,38637413
2019,676,Nutrition,Niger 2019,76341895,37909569
2019,676,Protection,Niger 2019,28503297,9064703.33333333
2019,676,Unspecified,Niger 2019,0,29858827
2019,676,Water Sanitation Hygiene,Niger 2019,22141002,4338377.33333333
2019,677,Agriculture,Ethiopia 2019,33800000,12698265
2019,677,Coordination and support services,Ethiopia 2019,5193084,4592063
2019,677,Education,Ethiopia 2019,32600000,10083707
2019,677,Emergency Shelter and NFI,Ethiopia 2019,8e+07,31003662.5
2019,677,Food Security,Ethiopia 2019,246855406,258099640
2019,677,Health,Ethiopia 2019,95100000,21591138.4166667
2019,677,Multi-sector,Ethiopia 2019,0,
2019,677,Nutrition,Ethiopia 2019,216200000,135769877.583333
2019,677,Protection,Ethiopia 2019,20400000,19688501.25
2019,677,Unspecified,Ethiopia 2019,0,99754048
2019,677,Water Sanitation Hygiene,Ethiopia 2019,114400000,47467207.25
2019,678,Coordination and support services,Myanmar 2019,4e+06,3174887.75
2019,678,Education,Myanmar 2019,17580000,7287155.33333333
2019,678,Emergency Shelter and NFI,Myanmar 2019,23700000,9194200.15238095
2019,678,Food Security,Myanmar 2019,60500000,53633111.3190476
2019,678,Health,Myanmar 2019,33700000,11915303.702381
2019,678,Multi-sector,Myanmar 2019,0,
2019,678,Nutrition,Myanmar 2019,11180000,10385646.5833333
2019,678,Protection,Myanmar 2019,33700000,19133433.8666667
2019,678,Unspecified,Myanmar 2019,0,44494097
2019,678,Water Sanitation Hygiene,Myanmar 2019,3e+07,21079887.7357143
2019,679,Coordination and support services,Haiti 2019,2013395,527403.5
2019,679,Education,Haiti 2019,4420106,33632
2019,679,Emergency Shelter and NFI,Haiti 2019,18267443,3493307
2019,679,Food Security,Haiti 2019,58852570,23184731
2019,679,Health,Haiti 2019,26792095,6931530
2019,679,Multi-sector,Haiti 2019,0,
2019,679,Nutrition,Haiti 2019,1504000,1175710
2019,679,Protection,Haiti 2019,8837329,1259169
2019,679,Unspecified,Haiti 2019,0,149031
2019,679,Water Sanitation Hygiene,Haiti 2019,5520689,3213504
2019,712,Coordination and support services,Libya 2019,16541590,2883005.33333333
2019,712,Education,Libya 2019,12235783,1376668
2019,712,Emergency Shelter and NFI,Libya 2019,18283438,5032938
2019,712,Food Security,Libya 2019,24437138,4160652
2019,712,Health,Libya 2019,43501365,16188469.5
2019,712,Multi-sector,Libya 2019,23195487,1229973
2019,712,Protection,Libya 2019,53930305,31017067.5
2019,712,Unspecified,Libya 2019,0,31141233
2019,712,Water Sanitation Hygiene,Libya 2019,9499332,1189932
2019,713,Camp Coordination / Management,South Sudan 2019,18824114,21198103
2019,713,Coordination and support services,South Sudan 2019,17178023,15047845
2019,713,Education,South Sudan 2019,53942554,30499563.3333333
2019,713,Emergency Shelter and NFI,South Sudan 2019,29944108,14896805.3333333
2019,713,Food Security,South Sudan 2019,650023000,490434858.333333
2019,713,Health,South Sudan 2019,120075704,62766613.8333333
2019,713,Logistics,South Sudan 2019,86873327,42457070
2019,713,Multi-sector,South Sudan 2019,120769670,7754528
2019,713,Nutrition,South Sudan 2019,179999934,210091165.666667
2019,713,Protection,South Sudan 2019,99852052,71487050.5
2019,713,Unspecified,South Sudan 2019,0,92092132
2019,713,Water Sanitation Hygiene,South Sudan 2019,129938858,78911851
2019,714,Camp Coordination / Management,Nigeria 2019,19510302,6096291
2019,714,Coordination and support services,Nigeria 2019,16471449,8011303.66666667
2019,714,Early Recovery,Nigeria 2019,53701608,23364752.5
2019,714,Education,Nigeria 2019,48313512,37713776
2019,714,Emergency Shelter and NFI,Nigeria 2019,60473481,14745246
2019,714,Emergency Telecommunications,Nigeria 2019,3446215,206063
2019,714,Food Security,Nigeria 2019,263587884,234215565.5
2019,714,Health,Nigeria 2019,73674152,20898681.1666667
2019,714,Logistics,Nigeria 2019,27978517,23102248
2019,714,Multi-sector,Nigeria 2019,0,
2019,714,Nutrition,Nigeria 2019,106285756,105625180.5
2019,714,Protection,Nigeria 2019,105427155,37167375.3333333
2019,714,Unspecified,Nigeria 2019,0,86115230
2019,714,Water Sanitation Hygiene,Nigeria 2019,68833550,33349311.3333333
2019,716,Coordination and support services,Mali 2019,13390461,6063302
2019,716,Education,Mali 2019,32546998,5855211.33333333
2019,716,Emergency Shelter and NFI,Mali 2019,4159706,466516.5
2019,716,Food Security,Mali 2019,127835982,61276831.1666667
2019,716,Health,Mali 2019,16929235,8334482.83333333
2019,716,Multi-sector,Mali 2019,0,
2019,716,Nutrition,Mali 2019,56421675,28589734.5
2019,716,Protection,Mali 2019,37539115,7546309.5
2019,716,Unspecified,Mali 2019,0,40228288
2019,716,Water Sanitation Hygiene,Mali 2019,35130566,7712622.16666667
2019,717,Food Security,DPR Korea Needs and Priorities 2019,28464563,3867150
2019,717,Health,DPR Korea Needs and Priorities 2019,32171025,10091855
2019,717,Nutrition,DPR Korea Needs and Priorities 2019,50526527,23528873
2019,717,Unspecified,DPR Korea Needs and Priorities 2019,0,810969
2019,717,Water Sanitation Hygiene,DPR Korea Needs and Priorities 2019,9183775,2356825
2019,718,Coordination and support services,Cameroon 2019,7720147,4143030.5
2019,718,Early Recovery,Cameroon 2019,11307353,4079245.25
2019,718,Education,Cameroon 2019,15803997,2858974
2019,718,Emergency Shelter and NFI,Cameroon 2019,12141690,-143776793.95
2019,718,Food Security,Cameroon 2019,59834294,32662462
2019,718,Health,Cameroon 2019,10454679,2125443.3
2019,718,Multi-sector,Cameroon 2019,108987889,27567993.55
2019,718,Nutrition,Cameroon 2019,23296063,
2019,718,Protection,Cameroon 2019,34342488,13640666.8
2019,718,Unspecified,Cameroon 2019,0,35401921
2019,718,Water Sanitation Hygiene,Cameroon 2019,14993769,-143498463.95
2019,719,Camp Coordination / Management,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),98736503,31227039
2019,719,Coordination and support services,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),15210134,6817077.33333333
2019,719,Education,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),59499950,67610173.5
2019,719,Emergency Shelter and NFI,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),128800001,46492708
2019,719,Emergency Telecommunications,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),1100000,
2019,719,Food Security,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),254070856,158435593.333333
2019,719,Health,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),88748586,39870821
2019,719,Logistics,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),2800000,1483764
2019,719,Multi-sector,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),0,523560
2019,719,Nutrition,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),48050143,63222293
2019,719,Protection,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),85870448,48911844.1666667
2019,719,Unspecified,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),0,173996541
2019,719,Water Sanitation Hygiene,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),136645508,52832740.3333333
2019,720,Coordination and support services,Pakistan 2019,3900000,4431450
2019,720,Education,Pakistan 2019,12699667,121044
2019,720,Food Security,Pakistan 2019,84746000,27145244
2019,720,Health,Pakistan 2019,33408473,5761674
2019,720,Multi-sector,Pakistan 2019,0,
2019,720,Nutrition,Pakistan 2019,42473963,16433047
2019,720,Protection,Pakistan 2019,5109864,526251
2019,720,Unspecified,Pakistan 2019,0,-219270
2019,720,Water Sanitation Hygiene,Pakistan 2019,19623165,4125710
2019,721,Coordination and support services,Burundi 2019,1550000,1233430
2019,721,Education,Burundi 2019,1224500,4626163
2019,721,Emergency Shelter and NFI,Burundi 2019,11675872,3849672.33333333
2019,721,Food Security,Burundi 2019,18009304,22724710.8
2019,721,Health,Burundi 2019,4392031,2049036.8
2019,721,Multi-sector,Burundi 2019,54359182,7787832
2019,721,Nutrition,Burundi 2019,5027442,4472978.8
2019,721,Protection,Burundi 2019,8496301,9294111.13333333
2019,721,Unspecified,Burundi 2019,0,17893309
2019,721,Water Sanitation Hygiene,Burundi 2019,1551925,898188.133333333
2019,722,Agriculture,Zimbabwe Flash Appeal 2019 / 2020,48929234,12519525.3333333
2019,722,Camp Coordination / Management,Zimbabwe Flash Appeal 2019 / 2020,0,202901
2019,722,Coordination and support services,Zimbabwe Flash Appeal 2019 / 2020,3365000,250000
2019,722,Early Recovery,Zimbabwe Flash Appeal 2019 / 2020,2462200,5482676.5
2019,722,Education,Zimbabwe Flash Appeal 2019 / 2020,7716000,1776448
2019,722,Emergency Shelter and NFI,Zimbabwe Flash Appeal 2019 / 2020,8855000,4106597.66666667
2019,722,Food Security,Zimbabwe Flash Appeal 2019 / 2020,319923331,179034689.833333
2019,722,Health,Zimbabwe Flash Appeal 2019 / 2020,16935000,1549869
2019,722,Logistics,Zimbabwe Flash Appeal 2019 / 2020,781854,781854
2019,722,Multi-sector,Zimbabwe Flash Appeal 2019 / 2020,3903173,3196349
2019,722,Nutrition,Zimbabwe Flash Appeal 2019 / 2020,14722310,2324280
2019,722,Protection,Zimbabwe Flash Appeal 2019 / 2020,9277692,3690416.16666667
2019,722,Unspecified,Zimbabwe Flash Appeal 2019 / 2020,0,17377435
2019,722,Water Sanitation Hygiene,Zimbabwe Flash Appeal 2019 / 2020,31063938,11189026.5
2019,726,Early Recovery,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),287430480,
2019,726,Multi-sector,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),16208578,354475228.333333
2019,726,Other,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),333824238,
2019,726,Protection,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),100148082,4565289.16666667
2019,726,Unspecified,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),0,37682417
2019,727,Coordination and support services,Madagascar Flash Appeal 2019,11900,
2019,727,Education,Madagascar Flash Appeal 2019,1339642,
2019,727,Food Security,Madagascar Flash Appeal 2019,25654977,18421421
2019,727,Health,Madagascar Flash Appeal 2019,811000,1918632
2019,727,Multi-sector,Madagascar Flash Appeal 2019,0,
2019,727,Nutrition,Madagascar Flash Appeal 2019,2160600,2257395.5
2019,727,Protection,Madagascar Flash Appeal 2019,173100,
2019,727,Unspecified,Madagascar Flash Appeal 2019,0,6738513
2019,727,Water Sanitation Hygiene,Madagascar Flash Appeal 2019,2286876,199982.5
2019,761,Camp Coordination / Management,Mozambique Humanitarian Response Plan 2019,3520000,
2019,761,Coordination and support services,Mozambique Humanitarian Response Plan 2019,6800000,1720916.3
2019,761,Early Recovery,Mozambique Humanitarian Response Plan 2019,8300000,355000
2019,761,Education,Mozambique Humanitarian Response Plan 2019,49873170,1809728
2019,761,Emergency Shelter and NFI,Mozambique Humanitarian Response Plan 2019,56716818,25810034.8
2019,761,Food Security,Mozambique Humanitarian Response Plan 2019,336569865,140681294
2019,761,Health,Mozambique Humanitarian Response Plan 2019,49109377,7993297.8
2019,761,Logistics,Mozambique Humanitarian Response Plan 2019,15310143,11128802.5
2019,761,Multi-sector,Mozambique Humanitarian Response Plan 2019,0,3487963.5
2019,761,Nutrition,Mozambique Humanitarian Response Plan 2019,32911500,674105.8
2019,761,Protection,Mozambique Humanitarian Response Plan 2019,27350685,5796486
2019,761,Unspecified,Mozambique Humanitarian Response Plan 2019,0,94382706
2019,761,Water Sanitation Hygiene,Mozambique Humanitarian Response Plan 2019,34086069,20003675.8
2019,794,Coordination and support services,Burkina Faso 2019,2360000,2344473
2019,794,Food Security,Burkina Faso 2019,70856133,31524010.5
2019,794,Multi-sector,Burkina Faso 2019,14100000,8740854
2019,794,Nutrition,Burkina Faso 2019,31394188,16749388
2019,794,Other,Burkina Faso 2019,68254813,
2019,794,Unspecified,Burkina Faso 2019,0,26046342
2019,827,Coordination and support services,Venezuela 2019,1573875,1156195
2019,827,Education,Venezuela 2019,42826320,8603639.75
2019,827,Food Security,Venezuela 2019,34661590,3905103.41666667
2019,827,Health,Venezuela 2019,61528879,16779227.5
2019,827,Multi-sector,Venezuela 2019,0,334447
2019,827,Nutrition,Venezuela 2019,10349569,5838054.66666667
2019,827,Protection,Venezuela 2019,41218219,13003723.75
2019,827,Unspecified,Venezuela 2019,0,10743097
2019,827,Water Sanitation Hygiene,Venezuela 2019,30565935,15022360.9166667
2019,829,Early Recovery,Islamic Republic of Iran: Floods Response Plan (April 2019),4700000,1112347
2019,829,Education,Islamic Republic of Iran: Floods Response Plan (April 2019),1550000,557414
2019,829,Emergency Shelter and NFI,Islamic Republic of Iran: Floods Response Plan (April 2019),7e+06,1246872
2019,829,Health,Islamic Republic of Iran: Floods Response Plan (April 2019),5e+06,2038169
2019,829,Protection,Islamic Republic of Iran: Floods Response Plan (April 2019),750000,
2019,829,Unspecified,Islamic Republic of Iran: Floods Response Plan (April 2019),0,3256352
2019,829,Water Sanitation Hygiene,Islamic Republic of Iran: Floods Response Plan (April 2019),6e+06,730284
2020,830,Coordination and support services,Ukraine 2020,6300490,4130695
2020,830,Education,Ukraine 2020,8345828,1773238.5
2020,830,Emergency Shelter and NFI,Ukraine 2020,26565415,10732662.3666667
2020,830,Food Security,Ukraine 2020,27124613,13348182.45
2020,830,Health,Ukraine 2020,38932343,23050053.6666667
2020,830,Multi-sector,Ukraine 2020,8978045,7429765.5
2020,830,Protection,Ukraine 2020,55861250,24539779.9833333
2020,830,Unspecified,Ukraine 2020,0,17744006
2020,830,Water Sanitation Hygiene,Ukraine 2020,32545250,17398478.7
2020,831,COVID-19,Somalia 2020,1300000,
2020,831,Camp Coordination / Management,Somalia 2020,32531529,10525934.1666667
2020,831,Coordination and support services,Somalia 2020,40126606,17630235.3333333
2020,831,Education,Somalia 2020,36823637,8103131
2020,831,Emergency Shelter and NFI,Somalia 2020,54409776,21178509.6666667
2020,831,Food Security,Somalia 2020,345392882,300909280.783333
2020,831,Health,Somalia 2020,103326474,49965731.45
2020,831,Multi-sector,Somalia 2020,63480996,9134076.16666667
2020,831,Nutrition,Somalia 2020,141958910,64520428.9738095
2020,831,Protection,Somalia 2020,79370945,29619782.4857143
2020,831,Unspecified,Somalia 2020,0,217689490
2020,831,Water Sanitation Hygiene,Somalia 2020,111204772,47692338.1404762
2020,832,Coordination and support services,occupied Palestinian territory 2020 (part of 2018-2020 HRP),9767837,2507936
2020,832,Education,occupied Palestinian territory 2020 (part of 2018-2020 HRP),22452394,7919980
2020,832,Emergency Shelter and NFI,occupied Palestinian territory 2020 (part of 2018-2020 HRP),14302195,5236457
2020,832,Food Security,occupied Palestinian territory 2020 (part of 2018-2020 HRP),231940445,83445661
2020,832,Health,occupied Palestinian territory 2020 (part of 2018-2020 HRP),67259212,33233056.1666667
2020,832,Multi-sector,occupied Palestinian territory 2020 (part of 2018-2020 HRP),0,56485162
2020,832,Protection,occupied Palestinian territory 2020 (part of 2018-2020 HRP),36039759,44335194.6666667
2020,832,Unspecified,occupied Palestinian territory 2020 (part of 2018-2020 HRP),0,41871049
2020,832,Water Sanitation Hygiene,occupied Palestinian territory 2020 (part of 2018-2020 HRP),38619842,16290798.6666667
2020,865,COVID-19,South Sudan 2020,23245264,1474450
2020,865,Camp Coordination / Management,South Sudan 2020,18230000,15353571.3333333
2020,865,Coordination and support services,South Sudan 2020,24529791,15609012
2020,865,Education,South Sudan 2020,56841181,44543257.3333333
2020,865,Emergency Shelter and NFI,South Sudan 2020,39616916,16118454.8833333
2020,865,Food Security,South Sudan 2020,817114614,474044244.166667
2020,865,Health,South Sudan 2020,213988900,71181699.3833333
2020,865,Logistics,South Sudan 2020,84375854,43927066.5
2020,865,Multi-sector,South Sudan 2020,126476227,23105132.5
2020,865,Nutrition,South Sudan 2020,229634654,184291083.583333
2020,865,Protection,South Sudan 2020,96503355,56094096.6
2020,865,Unspecified,South Sudan 2020,0,171527128
2020,865,Water Sanitation Hygiene,South Sudan 2020,170243208,71154409.2166667
2020,866,Camp Coordination / Management,Iraq 2020,25558126,5457848.5
2020,866,Coordination and support services,Iraq 2020,1.5e+07,14059685.5
2020,866,Early Recovery,Iraq 2020,25863200,38340800.3333333
2020,866,Education,Iraq 2020,30926190,17954724
2020,866,Emergency Shelter and NFI,Iraq 2020,50788533,20224222
2020,866,Food Security,Iraq 2020,83140000,34781716.8333333
2020,866,Health,Iraq 2020,124234029,67340951
2020,866,Multi-sector,Iraq 2020,86155297,27447240
2020,866,Protection,Iraq 2020,168514574,106382281.833333
2020,866,Unspecified,Iraq 2020,0,213533135
2020,866,Water Sanitation Hygiene,Iraq 2020,51988196,66429536
2020,869,Camp Coordination / Management,Nigeria 2020,26603518,15268348
2020,869,Coordination and support services,Nigeria 2020,18092831,11339949.4166667
2020,869,Early Recovery,Nigeria 2020,112775174,8025430.16666667
2020,869,Education,Nigeria 2020,55017611,12792377.5833333
2020,869,Emergency Shelter and NFI,Nigeria 2020,76303698,22832457.95
2020,869,Emergency Telecommunications,Nigeria 2020,2952395,1142640
2020,869,Food Security,Nigeria 2020,314773174,250109694.816667
2020,869,Health,Nigeria 2020,140034759,53635100.0333333
2020,869,Logistics,Nigeria 2020,30252388,2140603
2020,869,Multi-sector,Nigeria 2020,0,585207
2020,869,Nutrition,Nigeria 2020,103491641,62101562.0833333
2020,869,Protection,Nigeria 2020,96018875,40168414.3333333
2020,869,Unspecified,Nigeria 2020,0,96704655
2020,869,Water Sanitation Hygiene,Nigeria 2020,104130549,47209396.6166667
2020,870,COVID-19,Sudan 2020,14876541,400003.5
2020,870,Coordination and support services,Sudan 2020,13330000,4558161
2020,870,Education,Sudan 2020,91168178,48323247.6666667
2020,870,Emergency Shelter and NFI,Sudan 2020,30620251,11951724.0952381
2020,870,Food Security,Sudan 2020,395737285,220849071.714286
2020,870,Health,Sudan 2020,238677448,84584452.0476191
2020,870,Logistics,Sudan 2020,40165908,24105093
2020,870,Multi-sector,Sudan 2020,476863322,155091089.5
2020,870,Nutrition,Sudan 2020,154118940,65031881.047619
2020,870,Protection,Sudan 2020,83243827,36886840.1428572
2020,870,Unspecified,Sudan 2020,0,158593217
2020,870,Water Sanitation Hygiene,Sudan 2020,94601429,49746734.2857143
2020,907,COVID-19,Chad 2020,10351121,
2020,907,Camp Coordination / Management,Chad 2020,6284048,1075918.5
2020,907,Coordination and support services,Chad 2020,22743879,1187565
2020,907,Education,Chad 2020,18478321,13406044
2020,907,Emergency Shelter and NFI,Chad 2020,23645652,5617458.5
2020,907,Food Security,Chad 2020,196180706,92705192.5
2020,907,Health,Chad 2020,56197429,12401547.5
2020,907,Multi-sector,Chad 2020,213316169,50857664
2020,907,Nutrition,Chad 2020,80963493,26657963
2020,907,Protection,Chad 2020,17314340,14321434
2020,907,Unspecified,Chad 2020,0,47181942
2020,907,Water Sanitation Hygiene,Chad 2020,19166002,5219082
2020,908,COVID-19,Niger 2020,5630000,153483
2020,908,Coordination and support services,Niger 2020,4654286,3580228.5
2020,908,Education,Niger 2020,24092013,17049412
2020,908,Emergency Shelter and NFI,Niger 2020,29965337,8162055.56666667
2020,908,Food Security,Niger 2020,178067447,138913359.9
2020,908,Health,Niger 2020,24212212,15640021.4
2020,908,Logistics,Niger 2020,9842174,8196807.5
2020,908,Multi-sector,Niger 2020,102665619,31339529
2020,908,Nutrition,Niger 2020,76920890,35255990.5
2020,908,Protection,Niger 2020,34309217,15432919.2333333
2020,908,Unspecified,Niger 2020,0,93334323
2020,908,Water Sanitation Hygiene,Niger 2020,25715762,8241888.4
2020,913,Coordination and support services,Mali 2020,14393424,11111042.3333333
2020,913,Education,Mali 2020,48037323,11523789.5
2020,913,Emergency Shelter and NFI,Mali 2020,13016583,1971411.33333333
2020,913,Food Security,Mali 2020,203526590,79748700.3333333
2020,913,Health,Mali 2020,21834184,8732453.83333333
2020,913,Multi-sector,Mali 2020,0,
2020,913,Nutrition,Mali 2020,61821194,25616105.8333333
2020,913,Protection,Mali 2020,61699617,22817228.5
2020,913,Unspecified,Mali 2020,0,53758442
2020,913,Water Sanitation Hygiene,Mali 2020,49963265,7083024
2020,919,COVID-19,Democratic Republic of the Congo 2020,19002483,509860
2020,919,Camp Coordination / Management,Democratic Republic of the Congo 2020,0,144531.666666667
2020,919,Coordination and support services,Democratic Republic of the Congo 2020,75200000,23920073.3571429
2020,919,Education,Democratic Republic of the Congo 2020,75405627,13824067.5
2020,919,Emergency Shelter and NFI,Democratic Republic of the Congo 2020,112023099,32712013.1238095
2020,919,Food Security,Democratic Republic of the Congo 2020,887975050,283052505.907143
2020,919,Health,Democratic Republic of the Congo 2020,232104480,60047578.2071429
2020,919,Logistics,Democratic Republic of the Congo 2020,6e+06,27638058
2020,919,Multi-sector,Democratic Republic of the Congo 2020,125802869,33530513.5
2020,919,Nutrition,Democratic Republic of the Congo 2020,218171293,93952357.0404762
2020,919,Protection,Democratic Republic of the Congo 2020,115863753,32084957.9904762
2020,919,Unspecified,Democratic Republic of the Congo 2020,0,163692540
2020,919,Water Sanitation Hygiene,Democratic Republic of the Congo 2020,201586166,61432192.7071429
2020,920,COVID-19,Haiti 2020,105039433,125000
2020,920,Coordination and support services,Haiti 2020,7550000,3e+05
2020,920,Education,Haiti 2020,15020000,1350000
2020,920,Emergency Shelter and NFI,Haiti 2020,15530000,149776
2020,920,Food Security,Haiti 2020,249200000,99664598
2020,920,Health,Haiti 2020,13949722,6466307
2020,920,Logistics,Haiti 2020,550000,4393195
2020,920,Nutrition,Haiti 2020,10010000,2111197
2020,920,Protection,Haiti 2020,24053880,3667109.66666667
2020,920,Unspecified,Haiti 2020,0,9783506
2020,920,Water Sanitation Hygiene,Haiti 2020,31090000,11124392.3333333
2020,921,COVID-19,Zimbabwe 2020,424000,848320.5
2020,921,Camp Coordination / Management,Zimbabwe 2020,950000,
2020,921,Coordination and support services,Zimbabwe 2020,5e+06,
2020,921,Education,Zimbabwe 2020,51911396,982532
2020,921,Emergency Shelter and NFI,Zimbabwe 2020,24056526,1610963.5
2020,921,Food Security,Zimbabwe 2020,499018848,152507533.833333
2020,921,Health,Zimbabwe 2020,89577300,11229194.1666667
2020,921,Multi-sector,Zimbabwe 2020,4100000,909430.5
2020,921,Nutrition,Zimbabwe 2020,23338813,7735874.33333333
2020,921,Protection,Zimbabwe 2020,27757368,4091614.66666667
2020,921,Unspecified,Zimbabwe 2020,0,17623058
2020,921,Water Sanitation Hygiene,Zimbabwe 2020,74536682,11611282
2020,922,COVID-19,Burundi 2020,5852000,
2020,922,Coordination and support services,Burundi 2020,1600000,1038659
2020,922,Education,Burundi 2020,1e+07,135122
2020,922,Emergency Shelter and NFI,Burundi 2020,33400000,9450792
2020,922,Emergency Telecommunications,Burundi 2020,1100000,
2020,922,Food Security,Burundi 2020,32370000,22633132.3333333
2020,922,Health,Burundi 2020,7300000,3589249.16666667
2020,922,Logistics,Burundi 2020,11700000,
2020,922,Multi-sector,Burundi 2020,51330000,9386104
2020,922,Nutrition,Burundi 2020,12050000,7036860.83333333
2020,922,Protection,Burundi 2020,21991000,6161883.66666667
2020,922,Unspecified,Burundi 2020,0,27400990
2020,922,Water Sanitation Hygiene,Burundi 2020,9200000,1832080
2020,923,Camp Coordination / Management,Central African Republic 2020,48020090,12292580.3666667
2020,923,Coordination and support services,Central African Republic 2020,1.4e+07,8204163.53333333
2020,923,Education,Central African Republic 2020,47100000,5563531.75
2020,923,Emergency Telecommunications,Central African Republic 2020,1696000,110011
2020,923,Food Security,Central African Republic 2020,220965000,113129556.666667
2020,923,Health,Central African Republic 2020,35750000,36184992.2
2020,923,Logistics,Central African Republic 2020,23065000,21219244
2020,923,Multi-sector,Central African Republic 2020,31010000,5856920.5
2020,923,Nutrition,Central African Republic 2020,34416200,23683089.0833333
2020,923,Protection,Central African Republic 2020,35600000,30568915.0333333
2020,923,Unspecified,Central African Republic 2020,0,64696278
2020,923,Water Sanitation Hygiene,Central African Republic 2020,6.2e+07,33453073.9166667
2020,924,COVID-19,Syria Humanitarian Response Plan 2020,5069956,
2020,924,Camp Coordination / Management,Syria Humanitarian Response Plan 2020,33064325,16673511.3333333
2020,924,Coordination and support services,Syria Humanitarian Response Plan 2020,52547743,16759666.5
2020,924,Early Recovery,Syria Humanitarian Response Plan 2020,195140117,33900438.6666667
2020,924,Education,Syria Humanitarian Response Plan 2020,291867312,117023372
2020,924,Emergency Shelter and NFI,Syria Humanitarian Response Plan 2020,603065033,156142161.583333
2020,924,Emergency Telecommunications,Syria Humanitarian Response Plan 2020,925000,1084317
2020,924,Food Security,Syria Humanitarian Response Plan 2020,1158288106,701453907.916667
2020,924,Health,Syria Humanitarian Response Plan 2020,601153656,279222561.5
2020,924,Logistics,Syria Humanitarian Response Plan 2020,12131375,9799777
2020,924,Multi-sector,Syria Humanitarian Response Plan 2020,0,23553701.1666667
2020,924,Nutrition,Syria Humanitarian Response Plan 2020,90152974,34490581.5
2020,924,Protection,Syria Humanitarian Response Plan 2020,389811385,160455375.583333
2020,924,Unspecified,Syria Humanitarian Response Plan 2020,0,556179472
2020,924,Water Sanitation Hygiene,Syria Humanitarian Response Plan 2020,384315850,128493639.25
2020,925,COVID-19,Yemen 2020,10156000,
2020,925,Camp Coordination / Management,Yemen 2020,7200000,3750000
2020,925,Education,Yemen 2020,4657450,56202714.9166667
2020,925,Emergency Shelter and NFI,Yemen 2020,16004190,51870377
2020,925,Health,Yemen 2020,304560000,179270039.5
2020,925,Multi-sector,Yemen 2020,2.997e+09,368172366.666667
2020,925,Nutrition,Yemen 2020,9627167,116187840.666667
2020,925,Protection,Yemen 2020,5250000,68654734.75
2020,925,Unspecified,Yemen 2020,0,223176083
2020,925,Water Sanitation Hygiene,Yemen 2020,28226896,54211745.9166667
2020,927,COVID-19,Cameroon 2020,9386435,695827
2020,927,Coordination and support services,Cameroon 2020,10798173,6138507
